flexion_mean,valgus_mean,internal_mean,medial_mean,posterior_mean,superior_mean,flexion_std,valgus_std,internal_std,medial_std,posterior_std,superior_std
-30.5383603476766,2.56245054068895,-4.26470566245131,-4.54467161210641,3.52454953085591,-3.52705614676197,0,0,0,0,0,0
-31.4839185520773,2.68811738358139,-4.28654472967553,-4.53113860668633,3.39485604120732,-3.52941791842124,0,0,0,0,0,0
-32.4273714507127,2.80882513257801,-4.2939205441559,-4.53610354283582,3.28696715638736,-3.55011500293817,0,0,0,0,0,0
-33.3667276728878,2.92837651711435,-4.30118526922507,-4.53677398747372,3.1798085604512,-3.56488569712757,0,0,0,0,0,0
-34.3027077430225,3.0338038297421,-4.29483618760045,-4.51335025314262,3.06016025994699,-3.56674813542269,0,0,0,0,0,0
-35.2359503237981,3.14074456025107,-4.28470634083461,-4.50565831293098,2.95241645491405,-3.56641631542717,0,0,0,0,0,0
-36.1681697822346,3.2379902879618,-4.26957623377001,-4.47949959585628,2.8369451626896,-3.57871336512301,0,0,0,0,0,0
-37.1009680245042,3.32338654971241,-4.23727426871103,-4.45612023232807,2.74117992192356,-3.58932192099858,0,0,0,0,0,0
-38.0336041239633,3.43354901811549,-4.23217988658606,-4.44851516174555,2.65024676043975,-3.61394513501753,0,0,0,0,0,0
-38.9658504133966,3.53389081200651,-4.21252893234406,-4.44327882221745,2.58475295923824,-3.64368138149633,0,0,0,0,0,0
-39.8955901351278,3.63847870276185,-4.20250476274625,-4.44330745466066,2.48436253425067,-3.65856607277829,0,0,0,0,0,0
-40.8326100301273,3.7416327884717,-4.1888618936167,-4.44265077702073,2.38771737683109,-3.6774614030842,0,0,0,0,0,0
-41.7641279296445,3.82581754693563,-4.15370932589179,-4.44695552646958,2.32523686208688,-3.71919008362612,0,0,0,0,0,0
-42.6872808595878,3.92360240343771,-4.13464403341672,-4.4510382674832,2.23926684848763,-3.72906340647924,0,0,0,0,0,0
-43.6147536604568,4.03466346741153,-4.12435592669803,-4.43998184230928,2.15853164655135,-3.74662357959847,0,0,0,0,0,0
-44.5482483651243,4.14373286332911,-4.11075927033425,-4.42292795051709,2.07125602996652,-3.76088235338934,0,0,0,0,0,0
-45.4810113818866,4.24002187364913,-4.08405867198065,-4.40343282277959,1.99769940189506,-3.78369084433111,0,0,0,0,0,0
-46.412947496399,4.33434271486653,-4.05335921787293,-4.4003182181615,1.9298419046419,-3.81558791605624,0,0,0,0,0,0
-47.3547282871531,4.45755213522458,-4.04263491595875,-4.41404429325716,1.84927113715967,-3.82905117206975,0,0,0,0,0,0
-48.2990471939241,4.57476701189186,-4.01911192398299,-4.43642775952642,1.78396529550159,-3.87400354445382,0,0,0,0,0,0
-49.2509476512758,4.71275765902695,-4.00621449861638,-4.46938005880287,1.71209187204556,-3.89944912417064,0,0,0,0,0,0
-50.2096609700743,4.86495393474995,-3.99617223782946,-4.5160145923295,1.64633560777524,-3.92949433509916,0,0,0,0,0,0
-51.1679058357278,5.01723971842763,-3.97970050436649,-4.54930657187131,1.58699203810693,-3.9660026329774,0,0,0,0,0,0
-52.1264789146399,5.17504950083998,-3.96778596678107,-4.59138729231613,1.50902637245266,-3.9990352116632,0,0,0,0,0,0
-53.0903673901728,5.32715641578142,-3.94111853816536,-4.6426458594789,1.43303526366102,-4.03204705392412,0,0,0,0,0,0
-54.05848873578,5.48555146491298,-3.9158510747121,-4.67657204445457,1.36790015971647,-4.06702962183773,0,0,0,0,0,0
-55.0264889226258,5.64115348393138,-3.88616581278361,-4.70984990805446,1.29803876863579,-4.09877485558548,0,0,0,0,0,0
-55.9962285589791,5.77681069728212,-3.83640818923849,-4.73936498202262,1.22975599920523,-4.13143995434567,0,0,0,0,0,0
-56.9716585200031,5.92393534153082,-3.79326383738719,-4.76868605601402,1.16262329023265,-4.16504169418455,0,0,0,0,0,0
-57.9515982710198,6.07356868997804,-3.74185564491161,-4.79850171518194,1.09870867559965,-4.19926313555479,0,0,0,0,0,0
-58.9379975350321,6.22343018016921,-3.68344119117433,-4.82197235566708,1.02380885319963,-4.23254831075975,0,0,0,0,0,0
-59.9306308554834,6.38567296101422,-3.62431148193574,-4.86482665869473,0.939262574406143,-4.24357720610157,0,0,0,0,0,0
-60.9257177688137,6.53809143511544,-3.54770808726829,-4.90672891702076,0.875781989110871,-4.28766687043527,0,0,0,0,0,0
-61.9220466427806,6.69910278986945,-3.47198021831838,-4.95570777130947,0.808251153824855,-4.32811939881205,0,0,0,0,0,0
-62.9230659332206,6.85936400171275,-3.39362077120952,-4.96481493390049,0.734342884146946,-4.34151708472752,0,0,0,0,0,0
-63.926560327492,6.99706118514784,-3.29504085571293,-4.98980378580529,0.655325859230899,-4.36327103822823,0,0,0,0,0,0
