flexion_mean,valgus_mean,internal_mean,medial_mean,posterior_mean,superior_mean,flexion_std,valgus_std,internal_std,medial_std,posterior_std,superior_std
-0.133790716355917,-0.0667909952229936,1.719611340025,-2.37845089567198,-1.74547535785654,0.225260497512411,0,0,0,0,0,0
-1.13083022863126,-0.0970093973515598,1.85350146704976,-2.3728353572486,-1.77046431308362,0.300375791247237,0,0,0,0,0,0
-2.12924732841966,-0.137232214171604,2.08154837458828,-2.37846915916889,-1.80631664684155,0.390455356788929,0,0,0,0,0,0
-3.12579148913353,-0.199046016644422,2.30912557254412,-2.41574962042237,-1.8490021946989,0.486679683761005,0,0,0,0,0,0
-4.12090563827994,-0.266436522761299,2.48719450080691,-2.43805350337097,-1.8789254393993,0.578655276290757,0,0,0,0,0,0
-5.11645495085439,-0.340142480530629,2.60190375258179,-2.46300960566242,-1.89253443528351,0.667438877789101,0,0,0,0,0,0
-6.10905870243734,-0.418112890286165,2.69419563843396,-2.48112062568669,-1.89435617217661,0.759229189444028,0,0,0,0,0,0
-7.10182929032546,-0.494466035994195,2.76179001286242,-2.49568980770865,-1.8974104700445,0.853461235607011,0,0,0,0,0,0
-8.09298596875703,-0.568981796977516,2.8146637567646,-2.51438128002767,-1.87920066382989,0.936378595008072,0,0,0,0,0,0
-9.08287597334885,-0.644577283034366,2.85641419172307,-2.50580911593075,-1.86741006924986,1.0331006254563,0,0,0,0,0,0
-10.0733786065933,-0.719441099929584,2.8901700396773,-2.51450620746518,-1.87280397173992,1.11452182801384,0,0,0,0,0,0
-11.0632644768897,-0.796788189798869,2.9344971788482,-2.510216485585,-1.84204870900588,1.18825665709839,0,0,0,0,0,0
-12.0528265596368,-0.87680068159707,2.98674336508589,-2.51896312459514,-1.82731139416986,1.28536175485617,0,0,0,0,0,0
-13.0384333362293,-0.965297277463233,3.02814613795708,-2.49875643533093,-1.81506929392537,1.37033703417036,0,0,0,0,0,0
-14.0263037557743,-1.04692411266624,3.05978064106497,-2.49496217987078,-1.79061513625806,1.44401594369354,0,0,0,0,0,0
-15.0146579877701,-1.13100246289948,3.10764961305216,-2.49015810681338,-1.7715648686451,1.52496662266336,0,0,0,0,0,0
-15.9994348814183,-1.21290584693028,3.15298465458678,-2.46202923716417,-1.73812805889391,1.60183567169139,0,0,0,0,0,0
-16.9857462660236,-1.2966871002857,3.19250164616447,-2.4482236414906,-1.70879747430323,1.67196257403002,0,0,0,0,0,0
-17.9718067609431,-1.38311515193904,3.22177260218561,-2.42053485047397,-1.68099096255484,1.74114883047766,0,0,0,0,0,0
-18.9567121481196,-1.46603572021873,3.23297628586171,-2.36869499902277,-1.63748203263628,1.80168522962702,0,0,0,0,0,0
-19.9427911611798,-1.54308113134636,3.23739746572465,-2.35338798183388,-1.61126092954012,1.87356109218643,0,0,0,0,0,0
-20.9265087730798,-1.62224966222229,3.23937804374538,-2.30262035370628,-1.56287770279555,1.92370208771933,0,0,0,0,0,0
-21.9077183069787,-1.69621854979374,3.21798092031867,-2.24234550036317,-1.50861467040951,1.99466190099827,0,0,0,0,0,0
-22.8916135690431,-1.76761177613131,3.19531897704738,-2.22112469783506,-1.46797153392099,2.05204451344318,0,0,0,0,0,0
-23.8745782918712,-1.83144667281712,3.15585879032957,-2.23497118907314,-1.43917929528705,2.10009041526442,0,0,0,0,0,0
-24.856807624753,-1.89027276923167,3.11886836708753,-2.19784559625443,-1.39938479833798,2.14599733481538,0,0,0,0,0,0
-25.8395291856732,-1.94357322719494,3.0703250772489,-2.15302094880981,-1.35104512346949,2.1871271503611,0,0,0,0,0,0
-26.8241175625707,-1.99900718352011,3.02676120557346,-2.1257834475683,-1.30242826764437,2.22684952502729,0,0,0,0,0,0
-27.8070115867434,-2.05635312739916,2.97734654690401,-2.0698215252418,-1.26086364544605,2.26625027589042,0,0,0,0,0,0
-28.7897525408473,-2.1075722896625,2.92692202473728,-2.04172092447903,-1.21927062257641,2.31012837531134,0,0,0,0,0,0
-29.7722700804091,-2.15632293723439,2.86728838002635,-2.00463933064191,-1.16550140141324,2.3407173967747,0,0,0,0,0,0
-30.7566120270422,-2.19802613607385,2.80331883854736,-1.97374970812698,-1.12045160525009,2.36288238956102,0,0,0,0,0,0
-31.7399956939205,-2.23570941924846,2.73534002211438,-1.92638485222341,-1.07281472075119,2.39768303481541,0,0,0,0,0,0
-32.7239853237906,-2.26616606132334,2.66130918823315,-1.87714350068933,-1.01461368067843,2.41959800943536,0,0,0,0,0,0
-33.7054904660674,-2.2906662374606,2.58091040469659,-1.84326085603225,-0.963351045833337,2.4403908047581,0,0,0,0,0,0
-34.688299224934,-2.29885762724683,2.47162614780104,-1.79090916244999,-0.902384526764446,2.44864253501662,0,0,0,0,0,0
-35.6728379306926,-2.27222073835529,2.30384828082591,-1.73364048227873,-0.869021550354118,2.46805920854667,0,0,0,0,0,0
-36.6587706999582,-2.27596977168472,2.20986354480736,-1.67206895392334,-0.827608955387814,2.46953183941774,0,0,0,0,0,0
-37.6458669002913,-2.31607442623516,2.22238890286763,-1.64610442740911,-0.767758248902245,2.48580310416196,0,0,0,0,0,0
-38.6323885429628,-2.33632727918155,2.17045884322263,-1.59636963191596,-0.713254525120309,2.49005475169961,0,0,0,0,0,0
-39.6163256585184,-2.34754583648774,2.09763317094162,-1.55562268670085,-0.658883268368177,2.49053440392611,0,0,0,0,0,0
-40.6004595044124,-2.35459425915749,2.02191681826156,-1.50880849422033,-0.611388333144053,2.49982117452859,0,0,0,0,0,0
